senator,party,ticker,gics_sector,transaction_date,excess_ret_90,cate,cate_lb,cate_ub
"David A Perdue , Jr",Republican,FOX,Communication Services,2015-05-11,-0.0675827245808058,-0.0018551048252182728,-0.03916229042876884,0.03545208077833229
"David A Perdue , Jr",Republican,FOX,Communication Services,2015-05-12,-0.0676112943578046,-0.0011856254583861806,-0.04209359101636212,0.039722340099589755
Thomas R Carper,Democrat,AAPL,Information Technology,2015-05-14,-0.1166444993702595,0.0006645266032296162,-0.022081077372489065,0.023410130578948293
"David A Perdue , Jr",Republican,RF,Financials,2015-05-20,-0.1319697680507887,0.0015905385320478527,-0.027585836725480248,0.030766913789575946
Sheldon Whitehouse,Democrat,MRK,Health Care,2015-05-27,-0.1430610214600837,-0.005551074930581067,-0.03872263317698662,0.02762048331582448
Sheldon Whitehouse,Democrat,BAC,Financials,2015-05-27,-0.0755660515488518,0.0015021861323742222,-0.029472783741852613,0.032477156006601046
Sheldon Whitehouse,Democrat,AMGN,Health Care,2015-05-27,-0.1079201256686387,-0.005551074930581067,-0.03872263317698662,0.02762048331582448
Pat Roberts,Republican,AAPL,Information Technology,2015-05-28,-0.1555622565910808,-0.0011523151290674188,-0.02058196763588217,0.01827733737774732
"David A Perdue , Jr",Republican,PG,Consumer Staples,2015-06-04,-0.0411096708249106,-0.003424741352722353,-0.02836161326710594,0.02151213056166123
Patrick J Toomey,Republican,VZ,Communication Services,2015-06-04,-0.0560679902999288,-0.0037603817125708952,-0.0291035161639897,0.02158275273884789
John F Reed,Republican,LSCC,Other,2015-06-04,-0.3517844249318567,-0.021090978729704342,-0.06696885466329155,0.024786897203882857
John F Reed,Republican,LSCC,Other,2015-06-04,-0.3517844249318567,-0.021090978729704342,-0.06696885466329155,0.024786897203882857
Thomas R Carper,Democrat,DD,Materials,2015-06-12,-0.0634593748503266,0.0011454513433444675,-0.027598176433800088,0.029889079120489014
Patrick J Toomey,Republican,CVX,Energy,2015-06-16,-0.0726555927352889,0.007308698838838049,-0.014851043112831495,0.02946844079050757
Gary C Peters,Democrat,STAG,Other,2015-06-16,-0.0122947400669516,-0.007210995685113469,-0.044963266616220604,0.030541275245993656
James M Inhofe,Republican,NGIPX,Other,2015-06-22,-0.0198297190345962,-0.0018031816291760854,-0.0394977298274399,0.035891366569087715
Thomas R Carper,Democrat,CVG,Other,2015-06-24,0.043701655530921,-0.014701802197907553,-0.06274745223784513,0.033343847842030025
John F Reed,Republican,AMG,Other,2015-06-30,-0.1431738109385582,-0.004985354339303854,-0.051333345501361254,0.04136263682275354
John F Reed,Republican,AMG,Other,2015-06-30,-0.1431738109385582,-0.004985354339303854,-0.051333345501361254,0.04136263682275354
Sheldon Whitehouse,Democrat,T,Communication Services,2015-07-07,-0.0455870437035247,-6.714607553279775e-05,-0.043846622591020616,0.043712330439955004
Sheldon Whitehouse,Democrat,GPRO,Other,2015-07-07,-0.5196529307165523,-0.004700613156794015,-0.05143776454395533,0.04203653823036729
William Cassidy,Republican,OXY,Energy,2015-07-08,0.0192110515636112,0.01820451281456837,-0.03752504727699312,0.07393407290612988
James M Inhofe,Republican,GE,Industrials,2015-07-09,0.1741056773876224,0.027757506163592353,-0.013193560018565184,0.06870857234574988
James M Inhofe,Republican,MRK,Health Care,2015-07-09,-0.0678827123169065,0.01563906398119459,-0.018193069442819478,0.04947119740520868
James M Inhofe,Republican,ITC,Other,2015-07-09,0.0676686283271328,0.015230152016195531,-0.00999280304026795,0.040453107072659
James M Inhofe,Republican,BIIB,Health Care,2015-07-09,-0.2866623700836062,0.016606409428029732,-0.021721260422684973,0.05493407927874443
Sheldon Whitehouse,Democrat,BIIB,Health Care,2015-07-10,-0.2697140902176627,0.016986639593861895,-0.026293529702366824,0.060266808890090603
Sheldon Whitehouse,Democrat,T,Communication Services,2015-07-10,-0.0283407323423712,0.020777757429537677,-0.018979659218023387,0.060535174077098734
Sheldon Whitehouse,Democrat,BIIB,Health Care,2015-07-10,-0.2697140902176627,0.016986639593861895,-0.026293529702366824,0.060266808890090603
Sheldon Whitehouse,Democrat,MRK,Health Care,2015-07-10,-0.0653899179102207,0.016986639593861895,-0.026293529702366824,0.060266808890090603
"David A Perdue , Jr",Republican,DVN,Energy,2015-07-13,-0.1663249897967591,0.01763982574630012,-0.036453142175982,0.07173279366858226
James M Inhofe,Republican,FANG,Energy,2015-07-15,0.0900652015553051,0.02146775141526929,-0.01919386731145732,0.06212937014199591
Sheldon Whitehouse,Democrat,NFLX,Communication Services,2015-07-15,0.2250631880920268,0.021044143373756916,-0.03861029869333138,0.08069858544084517
Shelley M Capito,Republican,ABT,Health Care,2015-07-21,-0.0822277388185066,0.010596468534386684,-0.044435525551849306,0.06562846262062266
Thomas R Carper,Democrat,NWN,Other,2015-07-21,0.1396989095334295,0.013274566505289534,-0.04172973424847025,0.0682788672590493
Pat Roberts,Republican,AAPL,Information Technology,2015-07-24,-0.0492984539724022,0.020510985925064434,-0.019551984396358715,0.06057395624648758
Pat Roberts,Republican,AAPL,Information Technology,2015-07-27,-0.0446033728916029,0.015276154082598312,-0.03248435855451191,0.06303666671970855
Pat Roberts,Republican,BIDU,Other,2015-07-27,0.0691028036203234,0.015347170669991205,-0.03062792346910953,0.06132226480909194
"David A Perdue , Jr",Republican,DVN,Energy,2015-07-29,-0.2034684277701247,0.013230254573064485,-0.03665350616128583,0.0631140153074148
Sheldon Whitehouse,Democrat,GE,Industrials,2015-08-04,0.1937207754159546,0.01756896727005587,-0.03470219743231288,0.06984013197242463
Sheldon Whitehouse,Democrat,VZ,Communication Services,2015-08-04,-0.0165800329143817,0.004868412984477378,-0.04080768215363636,0.05054450812259111
Sheldon Whitehouse,Democrat,WFC,Financials,2015-08-04,-0.0478172120704125,0.004962415652021511,-0.03827755625076058,0.0482023875548036
Sheldon Whitehouse,Democrat,BIIB,Health Care,2015-08-04,-0.122853903756395,0.0011666669250507996,-0.03963615042051569,0.04196948427061728
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-04,-0.0697489522903401,0.0011666669250507996,-0.03963615042051569,0.04196948427061728
"David A Perdue , Jr",Republican,VLP,Other,2015-08-04,-0.0183303986926068,0.0016475248443336666,-0.0480470449639126,0.05134209465257992
Sheldon Whitehouse,Democrat,BIIB,Health Care,2015-08-04,-0.122853903756395,0.0011666669250507996,-0.03963615042051569,0.04196948427061728
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-04,-0.0697489522903401,0.0011666669250507996,-0.03963615042051569,0.04196948427061728
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-04,-0.0697489522903401,0.0011666669250507996,-0.03963615042051569,0.04196948427061728
"David A Perdue , Jr",Republican,AM,Other,2015-08-05,-0.1200575016312543,-0.00920390938843784,-0.0536638652422963,0.035256046465420604
"David A Perdue , Jr",Republican,FOX,Communication Services,2015-08-06,-0.0676648587297827,-0.0016761487387516147,-0.03867390790058278,0.03532161042307954
Patrick J Toomey,Republican,CVX,Energy,2015-08-07,0.1350390061074657,-0.0011944255262792427,-0.03231435934978277,0.029925508297224287
"David A Perdue , Jr",Republican,XOM,Energy,2015-08-07,0.052414677028072,-0.0011944255262792427,-0.03231435934978277,0.029925508297224287
Sheldon Whitehouse,Democrat,KO,Consumer Staples,2015-08-10,0.0688402607834115,0.005299516178168586,-0.02398201671152109,0.03458104906785826
Sheldon Whitehouse,Democrat,BIIB,Health Care,2015-08-10,-0.0499240794257771,0.0031342935226120233,-0.02010563194506452,0.026374218990288557
Sheldon Whitehouse,Democrat,BIIB,Health Care,2015-08-10,-0.0499240794257771,0.0031342935226120233,-0.02010563194506452,0.026374218990288557
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-10,-0.094842420464098,0.0031342935226120233,-0.02010563194506452,0.026374218990288557
James M Inhofe,Republican,ARW,Other,2015-08-12,-0.0614817879690949,-0.009014366671461143,-0.042195110628718654,0.02416637728579637
James M Inhofe,Republican,MRK,Health Care,2015-08-12,-0.098593236667212,-0.005918879123879244,-0.03711805986188306,0.025280301614124576
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-12,-0.0969571438479987,-0.00960962106796222,-0.03516847720688763,0.015949235070963186
John Hoeven,Republican,TAP,Consumer Staples,2015-08-13,0.3002426742959245,0.0009229123963206062,-0.028343130897711212,0.030188955690352418
John Hoeven,Republican,JCI,Industrials,2015-08-13,-0.1634805793433353,0.014404990500913439,-0.023740342631657856,0.05255032363348473
John Hoeven,Republican,RL,Consumer Discretionary,2015-08-13,-0.0529567490667733,-0.004378288512283552,-0.03892004033600576,0.030163463311438654
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-19,-0.0441265509932989,-0.01028657959811779,-0.036955635441885834,0.016382476245650254
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-20,-0.0205771799032697,0.017671356790140647,-0.02394658122743635,0.05928929480771763
John Cornyn,Republican,AAPL,Information Technology,2015-08-21,0.0190223506003015,0.019424997522789804,-0.021178007577361473,0.060028002622941085
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-21,3.2042002226173594e-05,0.014555924290060964,-0.02450103570068478,0.05361288428080668
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-21,3.2042002226173594e-05,0.014555924290060964,-0.02450103570068478,0.05361288428080668
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-24,0.0326219609195981,0.017780947040417255,-0.010841641627649116,0.046403535708483615
"David A Perdue , Jr",Republican,SBUX,Consumer Discretionary,2015-08-24,0.1962985379202877,0.013473777017927466,-0.025649511113293486,0.05259706514914841
"David A Perdue , Jr",Republican,KMI,Energy,2015-08-24,-0.4980904429165967,0.022091520366495487,-0.0073142533885329,0.05149729412152386
"David A Perdue , Jr",Republican,PSX,Energy,2015-08-24,0.1484380828854055,0.022325155251142932,-0.009479512216599047,0.05412982271888496
"David A Perdue , Jr",Republican,IP,Materials,2015-08-24,-0.0932197764083768,0.02296391703859932,-0.0016463932365604929,0.04757422731375911
"David A Perdue , Jr",Republican,QCOM,Information Technology,2015-08-24,-0.0791257487533595,0.02092938631128955,-0.0010954351632191835,0.042954207785798275
James M Inhofe,Republican,RSPP,Other,2015-08-24,0.153137912458215,0.017155108342120917,-0.015008515926028202,0.04931873261027002
James M Inhofe,Republican,AAPL,Information Technology,2015-08-24,0.0250679348798306,0.020445109850857277,-0.006698128746722664,0.047588348448437234
James M Inhofe,Republican,A,Health Care,2015-08-24,0.2123465785176708,0.01858869367274135,-0.010290023761808192,0.0474674111072909
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-25,0.011402010370431,0.01700354550731053,-0.02060552369549181,0.05461261471011285
Thomas R Carper,Democrat,AEE,Utilities,2015-08-25,0.1042403395268363,0.022225893583245362,-0.012463864128468598,0.05691565129495936
"David A Perdue , Jr",Republican,PG,Consumer Staples,2015-08-25,0.1555308070664767,0.02297998038101552,-0.005215441221620126,0.051175401983651135
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-26,-0.0033967410373459,0.00809338825395453,-0.02064011834802167,0.03682689485593073
William Cassidy,Republican,IHE,Other,2015-08-27,-0.0667772202908146,0.01844867913584772,-0.019067081951646962,0.05596444022334238
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-27,-0.0247961111553337,0.017078009082299863,-0.021686115026262043,0.05584213319086176
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-27,-0.0247961111553337,0.017078009082299863,-0.021686115026262043,0.05584213319086176
"David A Perdue , Jr",Republican,DVN,Energy,2015-08-27,-0.2498301591822809,0.018877653026449663,-0.015326579725283684,0.05308188577818301
"David A Perdue , Jr",Republican,GLW,Information Technology,2015-08-27,0.0383007588367332,0.018902436348383383,-0.01177487623153193,0.04957974892829869
William Cassidy,Republican,CAT,Industrials,2015-08-27,-0.1151661997390424,0.02623031418692299,-0.008473802588048116,0.060934430961894076
"David A Perdue , Jr",Republican,BAX,Health Care,2015-08-28,-0.044922288776233,0.016114893565720823,-0.01709962417064092,0.04932941130208256
"David A Perdue , Jr",Republican,GLW,Information Technology,2015-08-28,0.0015692007804262,0.01903294175343359,-0.007261850165788519,0.04532773367265569
