transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,amount_low_usd,amount_high_usd,amount_mid_usd,party,ret_30,bench_ret_30,rf_30,excess_ret_30,bench_excess_30,ret_90,bench_ret_90,rf_90,excess_ret_90,bench_excess_90,ret_180,bench_ret_180,rf_180,excess_ret_180,bench_excess_180,gics_sector,gics_sub_industry
2018-09-27,Spouse,QCOM,QUALCOMM Incorporated,Stock,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/ae39aeb9-967e-49eb-be3d-562d7efd2159/,1001.0,15000.0,3874.9193539995126,Republican,-0.19048938915503932,-0.03677759844715167,0.0025239221540866996,-0.19301331130912602,-0.03930152060123837,-0.28742461655006823,-0.07136237171306625,0.007590893089226114,-0.29501550963929435,-0.07895326480229237,0.035555354421201946,0.0012868908716541227,0.015239407836344032,0.020315946584857913,-0.01395251696468991,Information Technology,Semiconductors
2018-09-27,Spouse,WAB,Westinghouse Air Brake Technologies Corporation,Stock,Purchase,"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/ae39aeb9-967e-49eb-be3d-562d7efd2159/,1001.0,15000.0,3874.9193539995126,Republican,-0.18149492968621472,-0.03677759844715167,0.0025239221540866996,-0.18401885184030142,-0.03930152060123837,-0.312305681265472,-0.07136237171306625,0.007590893089226114,-0.3198965743546981,-0.07895326480229237,-0.3434042179015234,0.0012868908716541227,0.015239407836344032,-0.35864362573786746,-0.01395251696468991,Industrials,Construction Machinery & Heavy Transportation Equipment
2018-10-10,Self,GE,General Electric Company,Stock,Purchase,"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/cadee6b4-fce1-4f81-829f-34776edf2bbe/,50001.0,100000.0,70711.38522190045,Republican,-0.4118973974838571,-0.04873137019731122,0.0026173678697425373,-0.41451476535359966,-0.051348738067053756,-0.24368984895597545,-0.003876988416886884,0.00787267338350306,-0.2515625223394785,-0.011749661800389943,-0.16469869625993794,0.0641316127008027,0.015807325753209422,-0.18050602201314736,0.048324286947593276,Industrials,Aerospace & Defense
2018-10-09,Self,GOOGL,Alphabet Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/cadee6b4-fce1-4f81-829f-34776edf2bbe/,15001.0,50000.0,27387.040730973473,Republican,-0.10017732330610496,-0.08278543089928159,0.0025764931602589858,-0.10275381646636395,-0.08536192405954057,-0.021464127061237348,-0.03320445982085074,0.007749411535369788,-0.029213538596607136,-0.04095387135622053,-0.0544635388943806,0.02132384371318463,0.015558876449884185,-0.07002241534426479,0.005764967263300447,Communication Services,Interactive Media & Services
2018-10-08,Self,LEA,Lear Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/cadee6b4-fce1-4f81-829f-34776edf2bbe/,15001.0,50000.0,27387.040730973473,Republican,-0.07058229803707072,-0.06715363373784611,0.002553130725141406,-0.07313542876221213,-0.06970676446298751,0.08234396887216833,-0.03628790587936559,0.007678964247445963,0.07466500462472236,-0.04396687012681155,-0.017491271883803505,0.014037432419564677,0.01541689498680543,-0.032908166870608935,-0.0013794625672407523,Other,Other
2018-10-08,Self,APTV,Aptiv PLC,Stock,Purchase,"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/cadee6b4-fce1-4f81-829f-34776edf2bbe/,15001.0,50000.0,27387.040730973473,Republican,-0.09360104200098485,-0.06715363373784611,0.002553130725141406,-0.09615417272612625,-0.06970676446298751,0.022938725605017085,-0.03628790587936559,0.007678964247445963,0.015259761357571122,-0.04396687012681155,0.022742123475642417,0.014037432419564677,0.01541689498680543,0.007325228488836988,-0.0013794625672407523,Consumer Discretionary,Automotive Parts & Equipment
2018-09-28,Self,XPO,"XPO Logistics, Inc.",Stock,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/cadee6b4-fce1-4f81-829f-34776edf2bbe/,50001.0,100000.0,70711.38522190045,Republican,-0.29026888657543737,-0.04563173789606312,0.0025356063939006024,-0.29280449296933797,-0.04816734428996372,-0.4959271305265859,-0.07072804172906366,0.007626123383229988,-0.5035532539098159,-0.07835416511229365,-0.5069632992034823,0.0042827955416298025,0.015310404524316201,-0.5222737037277985,-0.011027608982686399,Other,Other
2018-09-25,Joint,RPM,RPM International Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,Daniel S Sullivan,https://efdsearch.senate.gov/search/view/ptr/494b2c1a-2a7d-4395-bb0b-ee26e2f2e0f5/,1001.0,15000.0,3874.9193539995126,Republican,-0.05273571422343104,-0.05491572946677703,0.0025566353750994253,-0.055292349598530466,-0.057472364841876455,-0.12576016283041236,-0.061003753600487154,0.007689531989773402,-0.13344969482018576,-0.06869328559026056,-0.07995512545609773,-0.009802603119342002,0.015438192881768398,-0.09539331833786613,-0.0252407960011104,Other,Other
2018-09-25,Joint,TBT,ProShares UltraShort 20+ Year Treasury,Stock,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/0e79d520-ab5e-4b3a-83ec-8a4c4c57538d/,1001.0,15000.0,3874.9193539995126,Republican,0.07017265861025423,-0.05491572946677703,0.0025566353750994253,0.06761602323515481,-0.057472364841876455,-0.08217647004519024,-0.061003753600487154,0.007689531989773402,-0.08986600203496364,-0.06869328559026056,-0.22716045876981195,-0.009802603119342002,0.015438192881768398,-0.24259865165158034,-0.0252407960011104,Other,Other
2018-09-14,Joint,TBT,ProShares UltraShort 20+ Year Treasury,Stock,Sale (Partial),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/0e79d520-ab5e-4b3a-83ec-8a4c4c57538d/,1001.0,15000.0,3874.9193539995126,Republican,0.060099815465634476,-0.08478200907352151,0.002480681451657807,0.05761913401397667,-0.08726269052517932,-0.042727299771825655,-0.08269247028145199,0.007460520961936501,-0.050187820733762156,-0.09015299124338849,-0.18678086826191753,-0.027136186361008896,0.014976701296896655,-0.2017575695588142,-0.04211288765790555,Other,Other
